idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
469	0.0208784		469	-0.0047128	0.01960814	0.038288154			469	0.01929119	0.02035557
470	0.01983571		470	-0.00479028	0.01953066	0.038136862			470	0.01979697	0.02086135
471	0.02139585		471	-0.00503268	0.01928826	0.037663536			471	0.02069835	0.02176273
472	0.02154928		472	-0.0045343	0.01978664	0.038636705			472	0.01999982	0.0210642
473	0.02103164		473	-0.00449029	0.01983065	0.038722642			473	0.02043116	0.02149554
474	0.0189512		474	-0.00443506	0.01988588	0.038830488			474	0.01923483	0.02029921
475	0.021281		475	-0.00442424	0.0198967	0.038851616			475	0.02046294	0.02152732
476	0.02138019		476	-0.00416302	0.02015792	0.039361691			476	0.02068914	0.02175352
477	0.02146119		477	-0.00433387	0.01998707	0.039028078			477	0.02056326	0.02162764
478	0.02140717		478	-0.00407355	0.02024739	0.039536396			478	0.02045193	0.02151631
479	0.02218963		479	-0.00388516	0.02043578	0.039904259			479	0.02176176	0.02282614
480	0.02186151		480	-0.00438557	0.01993537	0.038927125			480	0.0201304	0.02119478
481	0.02193131		481	-0.00324505	0.02107589	0.04115418			481	0.02059029	0.02165467
482	0.0219891		482	-0.0043878	0.01993314	0.038922771			482	0.02133474	0.02239912
483	0.02297434		483	-0.00369758	0.02062336	0.04027054			483	0.02195529	0.02301967
484	0.02444693		484	-0.00319615	0.02112479	0.041249666			484	0.02357198	0.02463636
485	0.02376702		485	-0.00327074	0.0210502	0.041104016			485	0.02100093	0.02206531
486	0.02391361		486	-0.00367172	0.02064922	0.040321036			486	0.02166639	0.02273077
487	0.02443182		487	-0.00328767	0.02103327	0.041070958			487	0.02094575	0.02201013
488	0.02494998		488	-0.00300876	0.02131218	0.041615576			488	0.0233506	0.02441498
489	0.02298548		489	-0.00341459	0.02090635	0.040823125			489	0.0230954	0.02415978
490	0.02370077		490	-0.00286942	0.02145152	0.04188766			490	0.02220312	0.0232675
491	0.02295079		491	-0.00251441	0.02180653	0.042580877			491	0.02190608	0.02297046
492	0.02523517		492	-0.00245359	0.02186735	0.042699638			492	0.02215012	0.0232145
493	0.02442814		493	-0.00254142	0.02177952	0.042528135			493	0.02235823	0.02342261
494	0.02332704		494	-0.00285898	0.02146196	0.041908046			494	0.02154642	0.0226108
495	0.02419735		495	-0.00243985	0.02188109	0.042726467			495	0.02146669	0.02253107
496	0.02454256		496	-0.00237972	0.02194122	0.042843881			496	0.02144897	0.02251335
497	0.02565262		497	-0.0015732	0.02274774	0.044418746			497	0.02142948	0.02249386
498	0.02507128		498	-0.00188346	0.02243748	0.043812911			498	0.02223514	0.02329952
499	0.02545045		499	-0.00180787	0.02251307	0.043960513			499	0.02143741	0.02250179
500	0.02439414		500	-0.00152473	0.02279621	0.044513391			500	0.02152462	0.022589
501	0.02454744		501	-0.00147174	0.0228492	0.044616863			501	0.02249171	0.02355609
502	0.0251635		502	-0.00149148	0.02282946	0.044578318			502	0.02153674	0.02260112
503	0.02589526		503	-0.00101229	0.02330865	0.045514016			503	0.02068331	0.02174769
504	0.02548864		504	-0.00098284	0.0233381	0.045571522			504	0.02199279	0.02305717
